"customer_unique_id","total_orders"
"8d50f5eadf50201ccdcedfb9e2ac8455",17
"3e43e6105506432c953e165fb2acf44c",9
"1b6c7548a2a1f9037c1fd3ddfed95f33",7
"6469f99c1f9dfae7733b25662e7f1782",7
"ca77025e7201e3b30c44b472ff346268",7
"f0e310a6839dce9de1638e0fe5ab282a",6
"dc813062e0fc23409cd255f7f53c7074",6
"de34b16117594161a6a89c50b289d35a",6
"12f5d6e1cbf93dafd9dcc19095df0b3d",6
"47c1a3033b8b77b3ab6e109eb4d5fdf3",6
"63cfc61cee11cbe306bff5857d00bfe4",6
"b4e4f24de1e8725b74e4a1f4975116ed",5
"5e8f38a9a1c023f3db718edcf926a2db",5
"56c8638e7c058b98aae6d74d2dd6ea23",5
"35ecdf6858edc6427223b64804cf028e",5
"4e65032f1f574189fb793bac5a867bbc",5
"fe81bb32c243a86b2f86fbf053fe6140",5
"74cb1ad7e6d5674325c1f99b5ea30d82",5
"394ac4de8f3acb14253c177f0e15bc58",5
"f34cd7fd85a1f8baff886edf09567be3",4
"a7657330b1c135f3acd420326e335b2c",4
"9cc5a07f169a1606fd347a56683e6ea6",4
"b39dde6dd619943190a8cc9aa6db38a4",4
"12d8b5ed661190a3a08183644dfc504d",4
"b2bd387fdc3cf05931f0f897d607dc88",4
"2ddc001b620bd90d0f4378cfde1db887",4
"f64ec6d8dd29940264cd0bbb5ecade8a",4
"a1874c5550d2f0bc14cc122164603713",4
"738ffcf1017b584e9d2684b36e07469c",4
"6358b15ef7fa9b1210f1a5735cabd3d9",4
"acea6bd29b8c1e3c6a8b266a8fb4475e",4
"4facc2e6fbc2bffab2fea92d2b4aa7e4",4
"83e7958a94bd7f74a9414d8782f87628",4
"ec7f1811826ab04a27a92197bc40c888",4
"397b44d5bb99eabf54ea9c2b41ebb905",4
"a239b8e2fbce33780f1f1912e2ee5275",4
"08e5b38d7948d37fbb2a59fc5e175ab1",4
"7305430719d715992b00be82af4a6aa8",4
"b08fab27d47a1eb6deda07bfd965ad43",4
"d3359a56d96666ac0c21bb01e7a61c95",4
"c37cc6c1a59d81460a3059744f7ada1c",4
"a73c5464692d3bc09d64e3edefae9015",4
"083ca1aa470c280236380973a48f77c6",4
"25a560b9a6006157838aab1bdbd68624",4
"795c1622cf7a53d63d324e862349d01c",4
"a0abd26659c9914690cbd3320d39fd96",4
"b896655e2083a1d76b7b85df8fc86e40",4
"b8b3c435a58aebd788a477bed8342910",4
"c8460e4251689ba205045f3ea17884a1",4
"90f323e9f0948ddd96c6f6a8ecc75830",3
"9aae8213ff9bc04cc3ce48b85f43a173",3
"db03954a9a1cc5e71f6e0f73e81a628c",3
"db07fd2ad9869f8356b1fbeefdac31e8",3
"51d91326ffc0688da14a001de38c264b",3
"b7b162291adff744d6f3c6450557ffee",3
"34b0cd95480e55c2a701293a2b9671b3",3
"64df076fb557552498049bb07ed1cd5f",3
"ef0103e9602d12594d19c2b666219bc1",3
"1c628081cb579ed6035b9aa8614e69f4",3
"31d332d20895c5c0baefe55207a0fead",3
"06a52782a04f0086d16b9c22d0e29438",3
"39104edef5e46d7b8c61848cc95e6d97",3
"8689b3e15d4b16cfd05ecf597a523453",3
"dc48b0a1b0e6abb6586f322c189f6b93",3
"c9b3b24308b1a4587ffa3e60fafc2b1f",3
"3db6e5afa8e8178a29afc729855315e2",3
"3de0c9303f39b7ccfe69ca11aee19cc6",3
"91d0504cf52d3f76b154c42d78979f39",3
